date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:39	36/36	U-----	200	untouched ('OK')	text/plain	date:Sat,%2025%20Jun%202016%2022:05:04%20GMT	http://giftcardrebel.com/robots.txt		(from )
21:42:40	87442/87442	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:15:48%20GMT	http://giftcardrebel.com/	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/index.html	(from )
21:42:41	1150/1150	U-----	200	untouched ('')	image/x-icon	date:Wed,%2010%20Dec%202014%2021:19:42%20GMT	http://giftcardrebel.com/favicon.ico	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/favicon.ico	(from http://giftcardrebel.com/)
21:42:41	12876/12876	U-----	200	untouched ('')	image/png	date:Wed,%2015%20Jun%202016%2022:17:06%20GMT	http://giftcardrebel.com/favicon.png	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/favicon.png	(from http://giftcardrebel.com/)
21:42:41	12551/12551	U-----	200	untouched ('OK')	text/css	date:Mon,%2027%20Jun%202016%2009:15:18%20GMT	http://giftcardrebel.com/resources/styles.css?v=3	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/resources/styles30f4.css	(from http://giftcardrebel.com/)
21:42:42	343/343	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Jul%202016%2014:42:42%20GMT	http://giftcardrebel.com/resources/img/facebook.png	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/resources/img/facebook.html	(from http://giftcardrebel.com/)
21:42:42	38720/38720	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:17:22%20GMT	http://giftcardrebel.com/free-xbox-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-xbox-gift-cards.html	(from http://giftcardrebel.com/)
21:42:42	41397/41397	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:17:06%20GMT	http://giftcardrebel.com/free-google-play-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-google-play-gift-cards.html	(from http://giftcardrebel.com/)
21:42:42	38683/38683	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:17:40%20GMT	http://giftcardrebel.com/free-steam-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-steam-gift-cards.html	(from http://giftcardrebel.com/)
21:42:42	43921/43921	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:17:52%20GMT	http://giftcardrebel.com/free-microsoft-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-microsoft-gift-cards.html	(from http://giftcardrebel.com/)
21:42:43	40991/40991	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:18:06%20GMT	http://giftcardrebel.com/free-playstation-store-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-playstation-store-gift-cards.html	(from http://giftcardrebel.com/)
